timestamp_utc,event_type,symbol,details
2026-03-20T00:03:51.033991+00:00,connection_issue,ALL,"streak=1"
2026-03-20T00:04:06.037326+00:00,connection_issue,ALL,"streak=2"
2026-03-20T00:04:21.041668+00:00,connection_issue,ALL,"streak=3"
2026-03-20T00:04:21.042687+00:00,trading_halted,ALL,"MT5 connection watchdog triggered. failures=3, cap=3"
2026-03-20T00:04:36.047706+00:00,connection_issue,ALL,"streak=4"
2026-03-20T00:04:51.051077+00:00,connection_issue,ALL,"streak=5"
2026-03-20T00:05:06.061099+00:00,connection_issue,ALL,"streak=6"
2026-03-20T00:05:21.065271+00:00,connection_issue,ALL,"streak=7"
2026-03-20T00:05:36.073055+00:00,connection_issue,ALL,"streak=8"
2026-03-20T00:05:51.080379+00:00,connection_issue,ALL,"streak=9"
2026-03-20T00:06:06.086723+00:00,connection_issue,ALL,"streak=10"
2026-03-20T00:06:21.092360+00:00,connection_issue,ALL,"streak=11"
2026-03-20T00:06:36.099259+00:00,connection_issue,ALL,"streak=12"
2026-03-20T00:06:51.106032+00:00,connection_issue,ALL,"streak=13"
2026-03-20T00:07:06.108926+00:00,connection_issue,ALL,"streak=14"
2026-03-20T00:07:21.115607+00:00,connection_issue,ALL,"streak=15"
2026-03-20T00:07:36.127635+00:00,connection_issue,ALL,"streak=16"
2026-03-20T00:07:51.133719+00:00,connection_issue,ALL,"streak=17"
2026-03-20T00:08:06.141282+00:00,connection_issue,ALL,"streak=18"
2026-03-20T00:08:21.146985+00:00,connection_issue,ALL,"streak=19"
2026-03-20T00:08:36.155994+00:00,connection_issue,ALL,"streak=20"
2026-03-20T00:08:51.160844+00:00,connection_issue,ALL,"streak=21"
2026-03-20T00:09:06.163550+00:00,connection_issue,ALL,"streak=22"
2026-03-20T00:09:21.167639+00:00,connection_issue,ALL,"streak=23"
2026-03-20T00:09:36.174165+00:00,connection_issue,ALL,"streak=24"
2026-03-20T00:09:51.180742+00:00,connection_issue,ALL,"streak=25"
2026-03-20T00:10:06.183052+00:00,connection_issue,ALL,"streak=26"
2026-03-20T00:10:21.189379+00:00,connection_issue,ALL,"streak=27"
2026-03-20T00:10:36.195591+00:00,connection_issue,ALL,"streak=28"
2026-03-20T00:10:51.202368+00:00,connection_issue,ALL,"streak=29"
2026-03-20T00:11:06.210827+00:00,connection_issue,ALL,"streak=30"
2026-03-20T00:11:21.214038+00:00,connection_issue,ALL,"streak=31"
2026-03-20T00:11:36.216368+00:00,connection_issue,ALL,"streak=32"
2026-03-20T00:11:51.220741+00:00,connection_issue,ALL,"streak=33"
2026-03-20T00:12:06.223534+00:00,connection_issue,ALL,"streak=34"
2026-03-20T00:12:21.531815+00:00,order_filled,GOLD,"side=buy lot=0.01 score=4.24 ticket=1936045542"
2026-03-20T00:15:37.628674+00:00,order_filled,NZDUSD,"side=buy lot=0.06 score=3.45 ticket=1936048974"
2026-03-20T00:17:53.304333+00:00,sl_modified,GOLD,"ticket=1936045542 sl=4660.95000"
2026-03-20T00:18:23.633268+00:00,sl_modified,GOLD,"ticket=1936045542 sl=4662.92000"
2026-03-20T00:33:28.054861+00:00,order_filled,EURUSD,"side=sell lot=0.06 score=3.68 ticket=1936063905"
2026-03-20T00:35:43.581632+00:00,order_rejected,EURCHF,"side=sell lot=0.08 score=3.57 retcode=10016 comment=Invalid stops"
2026-03-20T00:35:58.622431+00:00,order_rejected,EURCHF,"side=sell lot=0.08 score=3.96 retcode=10016 comment=Invalid stops"
2026-03-20T00:36:13.681655+00:00,order_rejected,EURCHF,"side=sell lot=0.08 score=3.73 retcode=10016 comment=Invalid stops"
2026-03-20T00:36:28.743623+00:00,order_rejected,EURCHF,"side=sell lot=0.08 score=3.53 retcode=10016 comment=Invalid stops"
2026-03-20T00:36:43.827150+00:00,order_rejected,EURCHF,"side=sell lot=0.08 score=3.73 retcode=10016 comment=Invalid stops"
2026-03-20T00:36:58.895992+00:00,order_rejected,EURCHF,"side=sell lot=0.08 score=3.93 retcode=10016 comment=Invalid stops"
2026-03-20T00:37:13.970944+00:00,order_rejected,EURCHF,"side=sell lot=0.08 score=4.13 retcode=10016 comment=Invalid stops"
2026-03-20T00:37:29.048657+00:00,order_rejected,EURCHF,"side=sell lot=0.08 score=3.93 retcode=10016 comment=Invalid stops"
2026-03-20T00:37:44.120282+00:00,order_rejected,EURCHF,"side=sell lot=0.08 score=3.73 retcode=10016 comment=Invalid stops"
2026-03-20T00:37:59.199289+00:00,order_rejected,EURCHF,"side=sell lot=0.07 score=3.73 retcode=10016 comment=Invalid stops"
2026-03-20T00:38:14.234274+00:00,order_rejected,EURCHF,"side=sell lot=0.07 score=3.73 retcode=10016 comment=Invalid stops"
2026-03-20T00:39:14.450571+00:00,order_rejected,EURCHF,"side=sell lot=0.07 score=3.53 retcode=10016 comment=Invalid stops"
2026-03-20T00:40:45.394480+00:00,order_filled,NZDUSD,"side=buy lot=0.05 score=3.59 ticket=1936068209"
2026-03-20T00:44:16.245357+00:00,order_rejected,EURCHF,"side=sell lot=0.08 score=3.86 retcode=10016 comment=Invalid stops"
